Name,Trial,AvgTestLoss,VarTestLoss,MinTestLoss,MaxTestLoss,SavedTrainLoss
QExpF1.pt,20,0.4332337737083435,0.0022388295339951306,0.3399776935577393,0.5048331260681153,0.2659387588500977
QExpFT1.pt,20,0.4121775674819947,0.007227054908418015,0.3003926515579224,0.5816198348999023,0.2503962814807892
QExpFSFT.pt,20,0.5391394877433777,0.0014800784840825767,0.4728770732879639,0.588289737701416,0.4494510293006897
QExpFSFT2.pt,20,0.41756788134574896,0.001665697559242874,0.3457217693328857,0.4848399639129639,0.27070048451423645
QExpFD.pt,20,0.416046279668808,0.00023929047785122042,0.3809423685073853,0.4532544136047363,0.3630198538303375
QExpFM.pt,20,0.5083247900009156,0.0009004515774932992,0.462687635421753,0.5503607749938965,0.4073581695556641
CExpFN.pt,20,0.03554710611701012,6.096558619810708e-06,0.031241974234580992,0.03930126130580902,0.02094741538167
CExpFQC.pt,20,0.2690093123912811,0.0018286271661567802,0.15942327976226806,0.32292368412017824,0.1359764039516449
QExpFMFT.pt,20,0.5157411479949952,0.0013172169360281265,0.4717880249023437,0.5708971977233886,0.4150602221488953
QExpFSMFT.pt,20,0.5728326988220214,0.0016114954797422788,0.4985512733459473,0.6377802848815918,0.4401663839817047
QExpFM2.pt,20,0.5034482431411742,0.0012788711298196394,0.4520202159881592,0.55310959815979,0.41226792335510254
QExpFSMFT2.pt,20,0.6037337946891784,0.0013385331494881203,0.4978752613067627,0.6512725353240967,0.3786432147026062
